rfi_id,project_name,submission_date,response_date,status,topic,description,delay_flag,days_to_close,assigned_to,priority_level,cost_impact_estimate,project_phase,rfi_type,response_quality
1,Lake Donnaland Bypass Project,2025-02-28,2025-03-25,Answered,Guardrail Placement,Along method your listen large his art strong in oil edge could focus hear responsibility without.,False,25,Subcontractor,Medium,31108.5,Excavation,Clarification,4
2,West Isaac Bypass Project,2025-04-10,2025-05-07,Open,Bridge Joint Design,Notice popular peace quickly friend medical cell international attention end include own determine medical across mean free practice meet his can body democratic sport write.,False,27,Civil Engineer,Medium,38407.14,Excavation,Clarification,2
3,Port Andrew Bypass Project,2024-12-22,2025-01-17,Answered,Lane Closures,Apply sound find western article class industry occur view nation artist enter to rather do.,True,26,Subcontractor,Medium,28600.59,Inspection,Design Change,5
4,Leonchester Bypass Project,2024-11-22,2024-11-29,Pending Review,Stormwater Drainage,Since staff beyond view choice coach policy personal town mother education once sister sign simply it attention week.,True,7,DOT Inspector,Medium,17090.66,Paving,Clarification,5
5,Deniseville Bypass Project,2025-01-09,2025-02-05,Closed,Pavement Materials,Key side green production soon say old eye often some laugh quality decision base his never.,False,27,General Contractor,Low,1012.6,Preconstruction,Clarification,5
6,North Evan Bypass Project,2024-12-13,2024-12-31,Answered,Soil Compaction,Yeah civil director mention sound wish under so life unit together write play chair responsibility later.,True,18,Subcontractor,Low,1835.61,Paving,Clarification,5
7,New Mitchellhaven Bypass Project,2024-12-01,2024-12-07,Answered,Traffic Signage,Myself mind claim sometimes wife blue middle seem action listen any investment most our evidence.,True,6,DOT Inspector,Medium,31987.59,Excavation,Design Change,4
8,East Ericberg Bypass Project,2025-01-15,2025-01-27,Pending Review,Lane Closures,Fish cup focus hour more score television wide create institution town.,False,12,General Contractor,Medium,14949.26,Inspection,Conflict Resolution,5
9,Lake Chad Bypass Project,2025-02-08,2025-03-05,Open,Soil Compaction,Assume trial central forget throw finish second article include suggest low newspaper company.,True,25,General Contractor,Medium,18556.64,Preconstruction,Clarification,3
10,Meganburgh Bypass Project,2025-04-03,2025-04-23,Closed,Soil Compaction,Talk because eye late threat food care make material sell involve go store movement write business personal security investment view cell business myself.,False,20,General Contractor,Medium,43415.53,Excavation,Conflict Resolution,4
11,Port Morgan Bypass Project,2025-04-09,2025-04-17,Pending Review,Traffic Signage,Turn vote decision million door which movie view hotel teacher hour watch science standard American whatever green cut dinner point second school enter.,True,8,General Contractor,Low,2338.91,Paving,Design Change,2
12,Port Jomouth Bypass Project,2025-03-03,2025-03-09,Answered,Stormwater Drainage,Draw gun low whatever science against she young medical produce approach kitchen sing small support chair significant fact writer camera value tax.,True,6,DOT Inspector,High,152361.24,Inspection,Clarification,3
13,Arnoldville Bypass Project,2025-03-15,2025-04-04,Answered,Lane Closures,Certain former hot thus career court discuss pay shake TV class citizen blood with size across consider husband wife account above particular.,False,20,General Contractor,High,104703.49,Preconstruction,Design Change,4
14,Ariasfurt Bypass Project,2024-11-08,2024-11-12,Open,Stormwater Drainage,But where Mrs director event short east bank upon available rather fact let man national management body set military pick paper.,True,4,General Contractor,High,70589.31,Inspection,Clarification,5
15,Ashleechester Bypass Project,2024-11-15,2024-11-25,Answered,Traffic Signage,Protect admit present institution read land no fall if fire hold voice use feeling at space message sing world action behavior.,False,10,Civil Engineer,Medium,13330.5,Inspection,Material Substitution,2
16,Richardsview Bypass Project,2024-12-08,2025-01-03,Closed,Utility Relocation,Name should summer model generation whether four spring owner natural walk consumer financial financial happen.,True,26,DOT Inspector,Medium,16097.77,Excavation,Clarification,5
17,Greenview Bypass Project,2024-12-25,2025-01-06,Open,Utility Relocation,News represent result use meeting dog coach board their north section society summer firm strong.,True,12,General Contractor,Medium,16115.73,Excavation,Clarification,3
18,Vazquezville Bypass Project,2025-01-04,2025-01-17,Open,Utility Relocation,Kid attack class culture industry current so for out practice matter tough how police nation hour husband material learn strong let nice report.,True,13,General Contractor,High,148859.13,Preconstruction,Design Change,5
19,South Charles Bypass Project,2024-11-03,2024-11-28,Pending Review,Stormwater Drainage,Computer bar contain same if major air do hit itself official meet.,True,25,Civil Engineer,High,171242.07,Excavation,Design Change,4
20,Kennethville Bypass Project,2025-04-05,2025-04-14,Closed,Pavement Materials,Lead force name push produce suffer consider hard factor matter cost player beyond grow professor bed assume.,True,9,Civil Engineer,Medium,43689.77,Preconstruction,Clarification,3
21,Hessfort Bypass Project,2024-11-26,2024-11-30,Answered,Traffic Signage,Notice must son detail church provide main sign agree world.,True,4,General Contractor,Medium,21906.25,Inspection,Clarification,4
22,North James Bypass Project,2024-11-12,2024-12-12,Open,Pavement Materials,Glass money nice certainly strong stop get difference health notice successful accept decision hair Mr seek true doctor bad moment instead impact sometimes.,False,30,Civil Engineer,Medium,25463.43,Excavation,Material Substitution,3
23,Jamesland Bypass Project,2025-03-07,2025-03-25,Pending Review,Utility Relocation,Cause eight such try teach clearly score among for professor mind again business.,True,18,DOT Inspector,Medium,49714.32,Excavation,Material Substitution,3
24,Crawfordstad Bypass Project,2024-11-16,2024-12-15,Open,Soil Compaction,Skin day will possible north prevent business fact glass population court evening your central dark medical Congress each traditional world assume piece me.,True,29,DOT Inspector,Medium,25969.39,Excavation,Design Change,3
25,Port Josephstad Bypass Project,2025-03-06,2025-03-27,Open,Guardrail Placement,When together around federal building when edge myself character stop event speech green thus benefit easy walk whether throughout.,True,21,Subcontractor,High,75924.39,Paving,Design Change,4
26,Blakeburgh Bypass Project,2024-11-24,2024-12-11,Answered,Stormwater Drainage,Chair shoulder above yeah include tough apply tend show always themselves sign media stuff impact hospital pay method letter you question.,False,17,Civil Engineer,Low,8077.34,Inspection,Design Change,2
27,Hicksbury Bypass Project,2025-02-10,2025-02-20,Pending Review,Road Grading,Our physical pretty work commercial choose over apply government else it development important week discuss man however.,True,10,Subcontractor,High,194271.28,Inspection,Conflict Resolution,2
28,East Jill Bypass Project,2024-11-03,2024-11-17,Answered,Guardrail Placement,Beautiful hour fund stop only stand spring past degree account reach over push mind light major force less machine draw easy.,False,14,Civil Engineer,Medium,44703.38,Excavation,Design Change,2
29,West Denniston Bypass Project,2024-11-29,2024-12-06,Pending Review,Bridge Joint Design,Peace city rule current bar wide about think western office effort these level blood as account public garden particularly thousand.,False,7,Subcontractor,Medium,39477.33,Inspection,Material Substitution,4
30,New Douglas Bypass Project,2024-11-29,2024-12-13,Pending Review,Bridge Joint Design,Job outside budget decision girl relationship well smile movement upon true family option rise one relationship usually mean task surface hotel.,False,14,Civil Engineer,Medium,15957.77,Excavation,Clarification,4
31,South Andrew Bypass Project,2025-04-07,2025-05-03,Pending Review,Bridge Joint Design,Scientist factor recognize they level choice morning she common idea action economic hot his nation measure argue together forget recognize clearly line town reduce such.,True,26,DOT Inspector,Medium,38148.92,Inspection,Design Change,5
32,New Johnfurt Bypass Project,2025-03-17,2025-04-02,Closed,Road Grading,Same speech foreign material water arm thought such someone music behind laugh pass street something agent.,False,16,DOT Inspector,Medium,15197.23,Paving,Clarification,2
33,Grimesshire Bypass Project,2024-11-05,2024-11-14,Answered,Utility Relocation,Finish long far prepare including front dog stage role message agency.,False,9,General Contractor,Medium,37199.03,Preconstruction,Conflict Resolution,3
34,Garrettton Bypass Project,2025-03-15,2025-04-11,Open,Utility Relocation,Size little have guy impact yeah ready concern crime speech go attention yeah specific task.,True,27,DOT Inspector,High,110440.9,Paving,Material Substitution,5
35,Jacksonbury Bypass Project,2025-01-20,2025-02-08,Pending Review,Guardrail Placement,Heart population five week no bar play opportunity system hit local.,True,19,Civil Engineer,High,182376.14,Excavation,Design Change,4
36,Stephensonmouth Bypass Project,2024-12-02,2024-12-30,Pending Review,Traffic Signage,Person upon avoid owner serve defense available tonight nor value represent loss during.,False,28,Civil Engineer,Low,6208.48,Paving,Clarification,3
37,New Nicholas Bypass Project,2025-03-01,2025-03-05,Answered,Soil Compaction,Civil nor company among weight foreign I minute if wind spend form pull another lead.,True,4,DOT Inspector,High,141982.64,Paving,Conflict Resolution,3
38,Jamesbury Bypass Project,2025-03-08,2025-03-18,Pending Review,Stormwater Drainage,Relationship clear whether Congress night growth other hot write meeting leader anything money everyone lot.,True,10,DOT Inspector,Low,9891.15,Paving,Material Substitution,3
39,North Crystalmouth Bypass Project,2025-01-05,2025-01-11,Answered,Stormwater Drainage,About short discussion school task these word much music claim agree explain vote central.,True,6,DOT Inspector,Medium,12223.89,Excavation,Clarification,3
40,West Scott Bypass Project,2025-03-06,2025-03-26,Closed,Traffic Signage,Condition news defense statement attention likely he natural former vote system nature animal civil investment do author use school thought guess mother.,False,20,DOT Inspector,Low,4571.69,Paving,Conflict Resolution,2
41,South Timothy Bypass Project,2025-02-22,2025-02-25,Closed,Pavement Materials,Down light live organization represent bed against less speak picture south nation dark surface least rather several sing son town.,False,3,Subcontractor,High,151094.75,Paving,Material Substitution,4
42,Port Sydney Bypass Project,2025-04-13,2025-05-08,Closed,Bridge Joint Design,Voice hospital have worry each agent through how why necessary maybe knowledge our send.,False,25,Subcontractor,Medium,34399.05,Paving,Material Substitution,5
43,East Austin Bypass Project,2024-11-10,2024-11-25,Answered,Utility Relocation,Per avoid blue direction worry per professional computer international experience natural continue ahead improve.,False,15,General Contractor,Low,8727.86,Excavation,Design Change,5
44,New Chelsea Bypass Project,2025-04-12,2025-04-19,Pending Review,Guardrail Placement,Position find job hair many find five exist sell court matter trial ten ahead poor play.,False,7,General Contractor,Medium,35778.37,Inspection,Clarification,5
45,Autumnmouth Bypass Project,2024-12-26,2025-01-20,Answered,Soil Compaction,Operation general their size glass finally choose data stop reality tend water color less our believe kid live become audience reason.,True,25,Subcontractor,Medium,37471.38,Paving,Material Substitution,4
46,New Michael Bypass Project,2025-01-25,2025-02-01,Open,Stormwater Drainage,Leave themselves mouth own in avoid gas hand show leg discuss.,True,7,Subcontractor,High,159905.83,Preconstruction,Clarification,2
47,Mccormickchester Bypass Project,2024-12-11,2025-01-06,Open,Guardrail Placement,Include old movie purpose article possible issue suggest kid full top without pay.,False,26,Civil Engineer,Medium,39776.89,Paving,Design Change,2
48,Lake Janet Bypass Project,2024-12-11,2024-12-16,Answered,Guardrail Placement,Front ten production cup thus allow politics us politics maybe save attention.,False,5,Subcontractor,Low,5885.32,Preconstruction,Material Substitution,2
49,West Juanfort Bypass Project,2024-11-03,2024-12-01,Closed,Bridge Joint Design,Social sort after most such national agreement maybe compare else among talk world report song add early visit rule who wear establish.,True,28,Subcontractor,Medium,22589.22,Preconstruction,Material Substitution,5
50,New Williammouth Bypass Project,2025-04-09,2025-05-09,Open,Stormwater Drainage,Along environmental majority government watch drop discuss class picture and boy be apply role full couple third difference level.,False,30,General Contractor,Medium,31955.56,Paving,Material Substitution,5
51,Cherylburgh Bypass Project,2025-04-02,2025-04-12,Pending Review,Pavement Materials,Whole form second their wear three cost save work movement whole opportunity owner region.,True,10,DOT Inspector,High,130462.41,Preconstruction,Design Change,2
52,East Lauriefort Bypass Project,2025-01-06,2025-01-18,Pending Review,Lane Closures,Song month top religious I benefit question line tend get play score still.,True,12,Subcontractor,High,126524.56,Excavation,Clarification,3
53,East Nathaniel Bypass Project,2025-01-11,2025-02-09,Open,Bridge Joint Design,Thought sign financial memory child over less choose bad box your drug five event.,False,29,Civil Engineer,Low,1918.85,Inspection,Conflict Resolution,5
54,Derekfurt Bypass Project,2024-12-06,2024-12-13,Closed,Stormwater Drainage,Floor us question food degree behind reason child development gas you street show.,False,7,DOT Inspector,Medium,43071.87,Paving,Clarification,3
55,East Matthew Bypass Project,2025-03-31,2025-04-29,Pending Review,Lane Closures,Treatment feeling finish trouble set rule low dark thought meet set finish direction save international try another better will line very speech.,False,29,Subcontractor,Medium,10279.62,Paving,Design Change,4
56,East Danielfort Bypass Project,2024-12-01,2024-12-18,Pending Review,Soil Compaction,Imagine main car meet positive Democrat last piece enjoy grow operation former rock by eat hope.,False,17,General Contractor,Medium,11974.79,Excavation,Material Substitution,5
57,West Edwardton Bypass Project,2024-11-27,2024-12-04,Answered,Utility Relocation,Base husband under matter behavior late of party human left young anyone seek ready apply pressure community charge shoulder bank ever make.,False,7,DOT Inspector,Low,6591.34,Preconstruction,Conflict Resolution,4
58,Ericside Bypass Project,2025-03-02,2025-03-15,Answered,Bridge Joint Design,Continue receive assume explain thing work himself kitchen ever push radio know value nation now commercial state.,False,13,DOT Inspector,Low,3788.65,Preconstruction,Conflict Resolution,5
59,Lake Zachary Bypass Project,2025-02-23,2025-03-14,Answered,Traffic Signage,Quality you whether someone after single kid hand toward part product team represent.,False,19,General Contractor,Low,4216.38,Inspection,Conflict Resolution,4
60,South April Bypass Project,2025-01-09,2025-01-24,Closed,Road Grading,Own spring poor way threat so for free middle expect five language fight point long your range best responsibility.,False,15,DOT Inspector,Low,9016.73,Inspection,Conflict Resolution,2
61,Lake Feliciaburgh Bypass Project,2025-04-06,2025-05-04,Open,Pavement Materials,Able food prevent thank reach day him provide history fund ground develop hard up today red trade bag government economic office term believe.,True,28,DOT Inspector,Medium,32257.7,Inspection,Design Change,2
62,Andersonfort Bypass Project,2025-04-11,2025-04-25,Answered,Soil Compaction,Article or suggest produce officer film company these spend according season possible plan boy store of color edge use west clear individual character.,False,14,General Contractor,Low,3762.34,Excavation,Design Change,4
63,East Brianside Bypass Project,2024-12-17,2024-12-31,Pending Review,Soil Compaction,Group skill enjoy assume common collection ago reflect majority true shoulder ten defense however against car administration.,False,14,General Contractor,Medium,37931.27,Inspection,Material Substitution,2
64,Matthewfurt Bypass Project,2025-02-15,2025-02-21,Closed,Bridge Joint Design,Mind hear another condition per first history vote art require consider page run worker.,True,6,Civil Engineer,High,85727.22,Paving,Clarification,2
65,Thompsonfurt Bypass Project,2025-03-01,2025-03-04,Closed,Road Grading,Information pull trouble my environmental offer brother next become song start key management level help final science resource guess over author ground plant hold.,False,3,Civil Engineer,Medium,29415.84,Preconstruction,Conflict Resolution,3
66,Scottborough Bypass Project,2025-02-04,2025-02-22,Answered,Soil Compaction,Reality peace range sell project seek measure behavior true no ability task vote whose paper lead five end.,True,18,Civil Engineer,Medium,10928.12,Excavation,Conflict Resolution,3
67,North Andrew Bypass Project,2024-11-24,2024-12-13,Open,Utility Relocation,Or government law two high clear attorney policy he attack lot thank term yeah.,True,19,General Contractor,Medium,18156.94,Excavation,Conflict Resolution,5
